task,representation,model,seed,AUC,PR_AUC,BalAcc,Accuracy,F1,Precision_0,Recall_0,Precision_1,Recall_1,MacroF1,Precision_2,Recall_2
renewed_4y,FULL,XGB,2,0.6497064617280799,0.927033347174687,0.5019189174485036,0.8871564778463265,0.9401760228353948,0.8,0.003964321110009911,0.8872053872053872,0.9998735137869972,,,
renewed_4y,FULL,LR,3,0.5960566888892956,0.9124508555531516,0.5127479675082116,0.884127874369041,0.9382583228737075,0.36666666666666664,0.03270564915758176,0.8894050991501417,0.9927902858588414,,,
renewed_4y,FULL,XGB,3,0.6475012266279427,0.9262289866988402,0.501982160555005,0.8872686483454851,0.9402390438247012,1.0,0.003964321110009911,0.8872180451127819,1.0,,,
renewed_4y,FULL,LR,4,0.5960566888892956,0.9124508555531516,0.5127479675082116,0.884127874369041,0.9382583228737075,0.36666666666666664,0.03270564915758176,0.8894050991501417,0.9927902858588414,,,
renewed_4y,FULL,XGB,4,0.6458208654364702,0.9260885830723229,0.5024777006937562,0.8873808188446438,0.9402949571836346,1.0,0.004955401387512388,0.887317620650954,1.0,,,
renewed_4y,FULL,LR,5,0.5960566888892956,0.9124508555531516,0.5127479675082116,0.884127874369041,0.9382583228737075,0.36666666666666664,0.03270564915758176,0.8894050991501417,0.9927902858588414,,,
renewed_4y,FULL,XGB,5,0.6458281988789486,0.9253752072138027,0.5024777006937562,0.8873808188446438,0.9402949571836346,1.0,0.004955401387512388,0.887317620650954,1.0,,,
renewed_4y,FULL,LR,6,0.5960566888892956,0.9124508555531516,0.5127479675082116,0.884127874369041,0.9382583228737075,0.36666666666666664,0.03270564915758176,0.8894050991501417,0.9927902858588414,,,
renewed_4y,FULL,XGB,6,0.6542085686198361,0.9266592019428963,0.5034055378647573,0.8874929893438026,0.9403437815975733,0.875,0.006937561942517344,0.887504210171775,0.9998735137869972,,,
renewed_4y,FULL,LR,7,0.5960566888892956,0.9124508555531516,0.5127479675082116,0.884127874369041,0.9382583228737075,0.36666666666666664,0.03270564915758176,0.8894050991501417,0.9927902858588414,,,
renewed_4y,FULL,XGB,7,0.6406086055252287,0.9237152560161468,0.5018556743420022,0.8870443073471677,0.9401129943502825,0.6666666666666666,0.003964321110009911,0.8871927264563925,0.9997470275739945,,,
renewed_4y,FULL,LR,8,0.5960566888892956,0.9124508555531516,0.5127479675082116,0.884127874369041,0.9382583228737075,0.36666666666666664,0.03270564915758176,0.8894050991501417,0.9927902858588414,,,
renewed_4y,FULL,XGB,8,0.6480876513102293,0.9274928499396333,0.5024777006937562,0.8873808188446438,0.9402949571836346,1.0,0.004955401387512388,0.887317620650954,1.0,,,
renewed_4y,FULL,LR,9,0.5960566888892956,0.9124508555531516,0.5127479675082116,0.884127874369041,0.9382583228737075,0.36666666666666664,0.03270564915758176,0.8894050991501417,0.9927902858588414,,,
renewed_4y,FULL,XGB,9,0.6484355197354846,0.9270898058308581,0.5029732408325074,0.8874929893438026,0.9403508771929825,1.0,0.005946481665014866,0.8874172185430463,1.0,,,
renewed_4y,NETFEAT,LR,0,0.567974681195825,0.9081770617074827,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,XGB,0,0.5823089914021968,0.9142132499605764,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,LR,1,0.567974681195825,0.9081770617074827,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,XGB,1,0.5815683137118828,0.9138848729458828,0.5004955401387512,0.886932136848009,0.9400713436385255,1.0,0.0009910802775024777,0.886919452546556,1.0,,,
renewed_4y,NETFEAT,LR,2,0.567974681195825,0.9081770617074827,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,XGB,2,0.5810542832694467,0.9139375688406289,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,LR,3,0.567974681195825,0.9081770617074827,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,XGB,3,0.5828774898917584,0.914165496737326,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,LR,4,0.567974681195825,0.9081770617074827,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,XGB,4,0.583192389165359,0.9143058268897163,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,LR,5,0.567974681195825,0.9081770617074827,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,XGB,5,0.5848100713612899,0.9144794905500822,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,LR,6,0.567974681195825,0.9081770617074827,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,XGB,6,0.5860691043447324,0.9154410940122474,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,LR,7,0.567974681195825,0.9081770617074827,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,XGB,7,0.5808763376011044,0.9136012358504135,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,LR,8,0.567974681195825,0.9081770617074827,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,XGB,8,0.5831487019054664,0.9140236662841437,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,LR,9,0.567974681195825,0.9081770617074827,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,NETFEAT,XGB,9,0.5826386829187452,0.9145204198581294,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
is_triadic,KG,LR,0,0.683057109088865,0.42878904946208907,0.5629314975425317,0.7583847448121144,0.26283367556468173,0.7758851441781238,0.953356256540589,0.5517241379310345,0.1725067385444744,,,
is_triadic,KG,XGB,0,0.7462775644985524,0.5164484074923282,0.5842550770283432,0.7782389231632081,0.3070452155625657,0.7842664092664092,0.9717446554043953,0.6985645933014354,0.1967654986522911,,,
is_triadic,KG,LR,1,0.683057109088865,0.42878904946208907,0.5629314975425317,0.7583847448121144,0.26283367556468173,0.7758851441781238,0.953356256540589,0.5517241379310345,0.1725067385444744,,,
